,index,r,l,t
224,224,44.478578999999996,16,46.16501307487488
225,225,44.478578999999996,16,46.31330704689026
226,226,46.669806,17,46.47356200218201
227,227,44.478578999999996,16,46.62046003341675
228,228,53.344013000000004,21,46.80787897109985
229,229,45.966967,17,46.9625608921051
230,230,48.310829999999996,19,47.140491008758545
231,231,49.893418,20,47.31804299354553
232,232,48.120111,19,47.47713088989258
233,233,51.649541,20,47.65949106216431
234,234,45.966967,17,47.816943883895874
235,235,48.120111,19,48.002455949783325
236,236,47.189338,18,48.17626094818115
237,237,50.621113,21,49.93571591377258
238,238,45.966967,17,50.119056940078735
239,239,49.030111,20,50.30972909927368
240,240,42.242622,15,50.472306966781616
241,241,51.506826000000004,21,50.67679309844971
242,242,49.030111,20,50.883450984954834
243,243,42.748096000000004,15,51.024970054626465
244,244,48.325798999999996,18,51.194267988204956
245,245,38.648787,13,51.309277057647705
246,246,48.120111,19,51.47445607185364
247,247,47.649395,18,51.63306498527527
248,248,49.030111,20,51.811697006225586
249,249,48.277208,19,51.996768951416016
250,250,44.628483,16,52.14168405532837
251,251,48.490258000000004,19,52.31360411643982
252,252,44.660242,16,52.456459045410156
253,253,47.189338,18,52.6165509223938
254,254,45.966967,17,52.770596981048584
255,255,44.478578999999996,16,52.91325497627258
256,256,49.030111,20,53.09568405151367
257,257,48.120111,19,53.26815104484558
258,258,49.030111,20,53.45227909088135
259,259,45.966967,17,53.60912609100342
260,260,44.478578999999996,16,53.748157024383545
261,261,49.030111,20,53.92275309562683
262,262,52.643384,22,54.13215494155884
263,263,44.478578999999996,16,54.268287897109985
264,264,47.189338,18,54.42615103721619
265,265,49.90834,20,54.61687207221985
266,266,49.030111,20,54.78931999206543
267,267,45.966967,17,54.943061113357544
268,268,45.966967,17,55.092976093292236
269,269,46.340121,17,55.253665924072266
270,270,45.966967,17,55.40960502624512
271,271,51.476766,21,55.60688090324402
272,272,44.478578999999996,16,55.74921202659607
273,273,48.530524,19,55.92383909225464
274,274,47.385165,18,56.0916268825531
275,275,42.748096000000004,15,56.225456953048706
276,276,45.944977,17,56.37826895713806
277,277,40.797872,14,56.50070309638977
278,278,50.02068,20,56.68577599525452
279,279,49.030111,20,56.857884883880615
280,280,48.099338,19,57.02961802482605
281,281,45.966967,17,57.178149938583374
282,282,50.214110999999995,20,57.366015911102295
283,283,45.260754999999996,17,57.541162967681885
284,284,46.546498,17,57.6942720413208
285,285,42.522492,15,57.83970594406128
286,286,48.613339,18,58.007736921310425
287,287,44.478578999999996,16,58.15050792694092
288,288,45.966967,17,58.302340030670166
289,289,53.6947,19,58.47241806983948
290,290,42.748096000000004,15,58.59805202484131
291,291,40.170387,14,58.73662209510803
292,292,50.813583,18,58.904967069625854
293,293,42.748096000000004,15,59.04981088638306
294,294,45.96159,17,60.68744206428528
295,295,45.991111,17,60.88648796081543
296,296,49.030111,20,61.090338945388794
297,297,49.030111,20,61.2920138835907
298,298,50.019453000000006,20,61.48273801803589
299,299,46.56327,17,61.64457392692566
300,300,47.079496,18,61.82689189910889
301,301,43.708560999999996,16,62.00691795349121
302,302,44.478578999999996,16,62.14988088607788
303,303,47.189338,18,62.3112850189209
304,304,44.478578999999996,16,62.45482611656189
305,305,42.172274,16,62.62977695465088
306,306,46.286465,17,62.78727698326111
307,307,47.189338,18,62.96521592140198
308,308,49.030111,20,63.14935803413391
309,309,48.099338,19,63.325830936431885
310,310,51.753771,21,63.52643704414368
311,311,49.030111,20,63.710702896118164
312,312,49.030111,20,63.88955092430115
313,313,46.876967,18,64.05782794952393
314,314,40.797872,14,64.18106698989868
315,315,47.174234999999996,18,64.35524201393127
316,316,44.399034,16,64.50375604629517
317,317,49.030111,20,64.68446493148804
318,318,44.478578999999996,16,64.83123111724854
319,319,50.262478,20,65.01506400108337
